order_item_id,order_id,product_id,quantity,price_each,discount_applied
30001,24184,4966,2,1511.91,No
30002,22159,5661,2,3169.19,No
30003,23997,5887,2,743,Yes
30004,24248,5737,1,4423.5,No
30005,21548,3212,4,4159.9,No
30006,24506,5657,1,3295.12,Yes
30007,20891,3100,1,2346.23,No
30008,24959,3408,1,4671.48,Yes
30009,21101,2365,3,4170.66,No
30010,24787,2032,3,2546.64,Yes
30011,21643,2051,4,3539.18,Yes
30012,23461,4497,3,2877.96,No
30013,21476,2086,1,2980.92,Yes
30014,23655,4761,3,1721.78,Yes
30015,22982,5100,3,2364.21,No
30016,20906,5974,1,482.8,Yes
30017,21630,3285,4,1851.01,Yes
30018,23968,4658,3,3509.56,Yes
30019,22818,1666,1,4770.76,Yes
30020,22215,3203,1,4819.01,Yes
30021,22225,5817,1,2823.04,No
30022,22998,4040,2,3072.45,No
30023,24913,4849,1,1010.03,Yes
30024,20442,3893,3,3507.01,No
30025,23404,1400,3,446.23,Yes
30026,23927,5793,1,1494.96,No
30027,24948,1599,2,3374.98,No
30028,23988,1060,2,1620.52,Yes
30029,21118,2897,2,344.25,No
30030,23544,3449,3,4176.17,Yes
30031,23793,4783,2,1620.62,Yes
30032,22339,1339,4,409.22,No
30033,24858,1969,4,466.46,Yes
30034,22211,4141,2,1333.62,No
30035,21251,2257,4,972.28,No
30036,23836,5984,1,3894.07,No
30037,23415,3610,2,1676.25,Yes
30038,20439,5783,2,4043.01,No
30039,21946,3847,2,951.85,Yes
30040,22748,4937,1,2515.11,Yes
30041,24895,5857,1,3471.38,Yes
30042,24245,5633,2,3294.76,No
30043,24840,2717,3,3045.53,Yes
30044,22853,5373,3,4631.63,Yes
30045,24558,1342,4,1219.77,No
30046,20195,5514,1,2519.22,Yes
30047,23783,3383,4,4431.56,Yes
30048,24391,1557,4,481.68,Yes
30049,23297,1132,2,373.85,No
30050,24822,1908,3,1243.18,Yes
30051,20908,3802,4,3201.8,Yes
30052,23883,3798,2,1373.41,Yes
30053,21008,1328,1,1032.18,Yes
30054,23547,3266,4,2348.13,Yes
30055,22976,1152,3,3106.63,Yes
30056,21880,5050,1,1317.93,No
30057,20039,5941,2,1573.39,No
30058,22571,1259,1,3106.44,No
30059,21362,4114,4,4734.12,Yes
30060,22164,5207,1,3406.23,Yes
30061,23742,3336,1,3936.23,Yes
30062,20650,5250,1,1897.37,Yes
30063,22538,5523,3,1434.05,No
30064,22889,1528,4,2325.91,Yes
30065,22582,1651,2,4054.95,No
30066,23088,3382,3,2335.87,Yes
30067,21137,1964,4,4248.95,Yes
30068,23435,5733,2,4944.98,No
30069,24604,5707,2,452.93,No
30070,21404,4711,2,322.51,No
30071,24513,3586,4,832.99,No
30072,23703,1259,2,1983.41,No
30073,23739,5894,2,742.11,Yes
30074,23653,1800,3,4366.26,Yes
30075,22862,4452,2,213.42,Yes
30076,23776,4350,1,1647.38,Yes
30077,22396,5989,3,1005,No
30078,24420,4033,3,4664.54,Yes
30079,24229,5148,4,3380.46,No
30080,20634,4484,2,4568.95,Yes
30081,20526,3628,1,4864.41,Yes
30082,24532,3060,1,2535.78,Yes
30083,21642,4581,2,1248.16,No
30084,21970,1002,2,1049.27,Yes
30085,20244,1294,4,1192.3,No
30086,23916,1754,1,3572.11,Yes
30087,24245,1138,3,298.18,No
30088,21057,4277,4,351.67,No
30089,23384,3388,4,3079.9,No
30090,23741,5358,3,3246.08,No
30091,24410,5719,4,3359.79,Yes
30092,23384,1607,2,1922.21,No
30093,24413,3922,3,4049.13,Yes
30094,20728,4763,3,2714.76,Yes
30095,21828,2397,1,616.78,Yes
30096,23214,1900,3,4005.79,Yes
30097,24717,3982,4,4770.03,Yes
30098,24304,4216,1,394.18,No
30099,22561,2617,4,2017.62,Yes
30100,22563,3068,2,2488.83,Yes
30101,20525,1190,2,817.71,No
30102,23865,2173,1,4351.77,No
30103,21292,1377,1,1492.33,No
30104,21175,2640,4,3936.74,No
30105,22877,4104,2,3387.87,Yes
30106,21980,4899,1,3030.42,Yes
30107,21214,4120,2,1041.5,Yes
30108,23559,4608,2,1181.45,No
30109,24483,5731,2,332.01,Yes
30110,20043,1575,4,1279.49,Yes
30111,20021,2804,4,1792.67,No
30112,21187,4948,2,4182.41,No
30113,22937,1148,2,1895.32,No
30114,23078,1837,2,3797.65,Yes
30115,24902,1069,3,2253.27,No
30116,24249,5680,3,3945.85,Yes
30117,24714,3629,4,4883.73,Yes
30118,23268,1284,2,1275.22,Yes
30119,21486,3170,3,4325.47,No
30120,21384,1016,1,3146.94,Yes
30121,22313,4026,1,4104.74,Yes
30122,24504,5695,2,3292.77,No
30123,23298,3325,3,2177.35,Yes
30124,24348,1059,1,1217.57,Yes
30125,21549,5774,4,443.17,Yes
30126,20552,4672,1,2724.04,No
30127,24816,1609,4,4952.6,Yes
30128,22260,2106,1,3716.4,No
30129,22908,1121,1,1703.99,No
30130,24142,3219,3,4153.3,Yes
30131,23720,4127,1,3868.02,No
30132,20678,3116,1,1480.02,Yes
30133,23202,4249,4,170.11,Yes
30134,24632,3579,4,679,Yes
30135,21425,4907,1,4398.8,No
30136,21162,2623,2,4199.16,Yes
30137,23843,4414,1,1546.52,No
30138,24152,2691,1,1497.46,Yes
30139,24968,5955,3,3985.04,No
30140,20546,3939,1,4694.91,No
30141,21955,3876,1,3917.77,Yes
30142,24684,1485,4,3067.34,Yes
30143,23669,2677,4,1289.09,No
30144,21248,2484,4,2676.16,No
30145,22899,5145,4,1244.21,No
30146,24599,3189,1,4059.26,No
30147,21047,5507,2,1996.11,No
30148,23057,2955,3,4185.12,No
30149,21647,4111,3,1969.89,Yes
30150,23134,4386,2,4138.33,Yes
30151,23554,1640,2,1733.26,No
30152,22839,1890,3,2256.65,No
30153,20271,3147,1,3115.89,No
30154,24062,2696,3,444.41,No
30155,23521,3701,2,4746.21,No
30156,22862,1625,1,2910.67,No
30157,22146,4836,3,2588.32,Yes
30158,22532,1672,1,4213.03,No
30159,21572,2543,1,4342.24,Yes
30160,22537,5839,2,2659.08,No
30161,21115,2130,4,4643.59,No
30162,23360,3768,3,417.22,Yes
30163,21650,4828,2,654.81,Yes
30164,23330,2620,3,3024.26,Yes
30165,23987,1230,4,1834.92,No
30166,20361,5773,4,2374.7,No
30167,22385,2297,4,1707.59,No
30168,21548,3007,4,2083.15,No
30169,24120,1531,3,4130.97,Yes
30170,24955,5384,1,3008.03,No
30171,23386,2304,1,4986.99,Yes
30172,22445,1967,4,3955.71,Yes
30173,24777,2480,4,1440.96,Yes
30174,21053,5350,1,1395.29,No
30175,24981,5292,2,1745.9,No
30176,23261,5522,4,4231.97,No
30177,20490,1534,1,233.71,Yes
30178,23434,4921,2,1227.89,Yes
30179,22330,5608,1,4534.1,No
30180,24787,4575,2,3235.49,Yes
30181,20470,5434,3,1211.55,No
30182,24607,3246,2,1173.81,No
30183,23185,5844,4,4326.83,Yes
30184,20967,3209,2,4479.41,No
30185,23288,5473,2,1355.04,Yes
30186,23210,3799,4,2160.5,Yes
30187,20014,5386,3,4189.52,No
30188,22540,3098,2,3877.94,No
30189,21090,3554,3,4088.19,Yes
30190,22920,5170,1,2640.15,No
30191,20744,5681,1,4566.59,Yes
30192,20987,5492,4,1697.16,No
30193,23558,5735,3,867.69,No
30194,21608,3665,4,3572.79,Yes
30195,20069,3233,4,2742.84,Yes
30196,24521,4103,2,4287.47,No
30197,22045,5789,1,497.68,Yes
30198,22940,1431,4,4234.09,Yes
30199,21701,2977,2,1537.14,Yes
30200,24770,5056,2,3308.79,No
30201,21666,3184,3,296.63,Yes
30202,23830,4206,1,3086.95,No
30203,23641,5892,3,3614.63,No
30204,21122,2449,3,1906.88,Yes
30205,23825,1459,4,1155.51,No
30206,24811,3238,3,2734.39,Yes
30207,24649,2181,4,4182.63,No
30208,23417,3896,3,1685.38,No
30209,21963,3690,2,1337.1,Yes
30210,20978,5464,1,1466.78,Yes
30211,22294,2084,1,4750.75,No
30212,21568,3364,1,1860.46,Yes
30213,23355,1363,2,117.66,Yes
30214,21656,1801,2,3930.24,Yes
30215,20595,3875,3,3526.45,No
30216,23116,5395,3,729.98,Yes
30217,20780,1548,3,4926.03,No
30218,22972,4703,3,3079.51,Yes
30219,20269,2782,1,2553.82,Yes
30220,20699,4350,3,1972.87,No
30221,20640,3608,2,4503.5,No
30222,21340,1737,2,1295.42,No
30223,22437,5470,2,1500.27,Yes
30224,21461,5911,4,699.81,Yes
30225,23962,5933,4,3819.68,No
30226,21649,3193,4,3018.19,Yes
30227,20167,1073,3,3084.42,Yes
30228,21216,3202,1,1170.51,Yes
30229,21785,2464,1,3290.73,No
30230,21841,3413,3,3850.75,No
30231,23475,3946,3,1853.65,No
30232,24934,2945,4,4026.6,No
30233,20210,1342,2,1809.07,No
30234,24910,3545,2,3814.88,Yes
30235,20184,3236,4,265.28,No
30236,22056,2970,4,2800.71,No
30237,22352,3900,1,4850.68,No
30238,20369,5929,4,4908.1,No
30239,22091,5500,2,1480.59,No
30240,21546,5514,2,2262.86,No
30241,24686,1698,3,408.59,No
30242,23965,1251,1,4379.37,No
30243,22819,5854,3,2886,Yes
30244,23997,4888,1,1986.99,No
30245,23996,5800,3,652.58,Yes
30246,20556,4342,1,4739.16,Yes
30247,20801,5743,4,2698.07,No
30248,22756,1796,2,1486.35,No
30249,21247,5765,4,1816.05,Yes
30250,23314,5820,1,1426.42,No
30251,20467,4882,1,3048.87,No
30252,23175,1590,3,4656.82,No
30253,22389,2822,1,4297.8,Yes
30254,23663,5456,4,2355.87,No
30255,23929,5952,1,4149.85,Yes
30256,24214,5946,1,2173.22,Yes
30257,21625,1772,3,1336.3,Yes
30258,22188,2246,1,4918.73,Yes
30259,22027,1135,3,1589.05,Yes
30260,24531,4903,2,1686.25,Yes
30261,20845,3290,3,4949.5,Yes
30262,20748,3530,1,756.24,No
30263,24893,3881,2,3826.62,No
30264,23246,4939,1,4685.48,No
30265,23282,1576,3,2607.8,Yes
30266,23162,2171,4,112.36,No
30267,21824,4529,2,1937.79,Yes
30268,21481,1909,4,646.69,Yes
30269,22097,4878,4,2139.32,No
30270,23475,2904,2,3971.13,No
30271,21242,1035,4,2249.69,No
30272,20022,3699,4,2216.43,Yes
30273,21284,4620,4,2828.27,Yes
30274,21849,1005,4,2950.28,No
30275,24057,5362,2,4295.85,Yes
30276,21701,5585,1,1610.94,No
30277,21665,5056,4,4126.19,Yes
30278,20631,2065,2,2873.08,Yes
30279,22040,4267,2,1572.59,No
30280,23529,1231,2,1546.12,Yes
30281,22144,5769,2,1869.57,Yes
30282,22499,1155,3,3151.2,Yes
30283,22437,5510,1,1230.98,No
30284,22695,2344,1,4609.63,Yes
30285,24011,5106,4,2917.07,No
30286,21559,5878,2,4608.08,No
30287,23968,5110,3,327.38,Yes
30288,21161,3029,2,1778.8,Yes
30289,20685,4272,4,211.76,Yes
30290,22050,1626,1,1434.03,No
30291,24931,3578,4,4323.83,No
30292,22883,3169,4,279.39,Yes
30293,23004,5682,4,2237.12,Yes
30294,21315,2335,4,676.08,No
30295,24118,5451,4,2142.52,Yes
30296,20177,4011,4,4210.37,No
30297,22598,5296,4,3153.05,Yes
30298,23472,5329,1,3710.11,Yes
30299,24125,5014,1,1810.61,No
30300,22002,5082,2,4727.55,No
30301,21886,1139,2,3575.38,No
30302,23304,3492,3,2166.81,Yes
30303,24099,1218,3,2189.68,No
30304,20711,1220,1,4601.55,No
30305,24800,3494,1,2924.38,Yes
30306,24449,5694,3,3561.26,No
30307,22815,1497,1,2143.47,No
30308,20919,2390,3,1196.09,No
30309,23429,2199,2,3645.44,No
30310,20749,5360,1,3078.34,No
30311,22822,1157,1,2556.58,Yes
30312,21873,1255,3,3157.7,No
30313,21686,2389,4,1120.6,No
30314,20117,3957,4,3990.3,Yes
30315,20521,4648,2,4746,No
30316,23867,4303,1,4466.41,No
30317,20186,5960,1,1675.04,No
30318,23217,5459,3,2089.43,Yes
30319,24581,2419,4,4061.17,No
30320,20119,2938,4,3016.07,Yes
30321,23607,3189,2,2784.78,Yes
30322,24781,4302,4,4640.55,No
30323,23392,4185,4,2726.52,Yes
30324,20864,5238,4,2623.2,Yes
30325,20280,2908,3,305.89,No
30326,22921,3519,4,440.14,Yes
30327,21044,4513,2,136.36,No
30328,21547,3184,4,4574.9,No
30329,20166,5375,2,2101.09,Yes
30330,22183,5533,3,2395.95,No
30331,22379,5461,3,4242.4,Yes
30332,20818,4540,2,3085.31,Yes
30333,20573,5000,3,3086.56,Yes
30334,20912,5163,1,1553.02,No
30335,20370,4696,1,4186.15,Yes
30336,23246,2275,1,912.57,No
30337,23430,2874,1,360.43,Yes
30338,23775,3508,1,1038.86,Yes
30339,24090,3146,3,1411.91,Yes
30340,22941,3618,2,1483.32,Yes
30341,23176,2453,3,3385.52,No
30342,24196,3697,4,1167.34,Yes
30343,23704,3498,1,3415.63,No
30344,20788,1336,1,546.55,Yes
30345,24600,1852,3,821.29,No
30346,23916,3530,4,2593.23,No
30347,23048,5412,3,4617.29,No
30348,20563,4139,2,4311.88,No
30349,24251,2254,1,4846.89,No
30350,21122,4629,3,3287.35,No
30351,22402,4022,2,3411.49,Yes
30352,20799,3503,1,3162.61,Yes
30353,24599,1866,1,3151.81,No
30354,20211,2037,1,820.89,Yes
30355,20279,2292,4,2764.32,No
30356,22797,3860,3,1991.73,No
30357,24423,1411,1,2268.43,No
30358,22555,1806,1,2665.64,No
30359,23262,2025,2,729.14,No
30360,22223,2095,3,1861.49,Yes
30361,21399,5348,2,410.9,No
30362,22271,5173,3,4900.37,No
30363,20271,3621,1,680.79,Yes
30364,21431,5204,4,1366.77,No
30365,22799,5592,2,4467.34,No
30366,22455,1614,4,2465.28,No
30367,22708,3816,4,764.62,Yes
