order_id,buyer_id,order_date,total_amount,payment_method,order_status
20001,4008,2022-01-01 00:00:00,5948.72,UPI,Pending
20002,3895,2022-01-01 01:00:00,12346,UPI,Shipped
20003,4319,2022-01-01 02:00:00,6877.23,COD,Cancelled
20004,49,2022-01-01 03:00:00,9133.94,COD,Shipped
20005,68,2022-01-01 04:00:00,13453.7,COD,Shipped
20006,4035,2022-01-01 05:00:00,13020.26,Net Banking,Shipped
20007,4351,2022-01-01 06:00:00,13378.25,UPI,Cancelled
20008,3088,2022-01-01 07:00:00,4196.07,Credit Card,Delivered
20009,782,2022-01-01 08:00:00,717.74,Net Banking,Pending
20010,3131,2022-01-01 09:00:00,4063.79,Credit Card,Delivered
20011,4357,2022-01-01 10:00:00,4324.87,UPI,Pending
20012,2304,2022-01-01 11:00:00,13658.53,UPI,Shipped
20013,4368,2022-01-01 12:00:00,9808.79,Credit Card,Cancelled
20014,3931,2022-01-01 13:00:00,1409.22,COD,Delivered
20015,530,2022-01-01 14:00:00,2203.6,Net Banking,Pending
20016,610,2022-01-01 15:00:00,2504.01,Credit Card,Delivered
20017,3521,2022-01-01 16:00:00,9530.24,COD,Cancelled
20018,998,2022-01-01 17:00:00,11084.13,UPI,Shipped
20019,3731,2022-01-01 18:00:00,12922.73,UPI,Delivered
20020,406,2022-01-01 19:00:00,14121.42,Credit Card,Delivered
20021,459,2022-01-01 20:00:00,3185.23,Net Banking,Shipped
20022,4757,2022-01-01 21:00:00,4784.63,COD,Pending
20023,20,2022-01-01 22:00:00,3756.78,Credit Card,Delivered
20024,3958,2022-01-01 23:00:00,5509.67,UPI,Delivered
20025,1166,2022-01-02 00:00:00,13737.04,Net Banking,Pending
20026,250,2022-01-02 01:00:00,8711.67,COD,Delivered
20027,398,2022-01-02 02:00:00,11125.24,COD,Delivered
20028,1603,2022-01-02 03:00:00,7453.76,Net Banking,Cancelled
20029,2647,2022-01-02 04:00:00,627.1,UPI,Shipped
20030,2381,2022-01-02 05:00:00,1150.09,UPI,Cancelled
20031,987,2022-01-02 06:00:00,8161.26,Net Banking,Shipped
20032,4940,2022-01-02 07:00:00,10838.08,Credit Card,Shipped
20033,3028,2022-01-02 08:00:00,3386.89,Net Banking,Shipped
20034,931,2022-01-02 09:00:00,10884.26,COD,Shipped
20035,1441,2022-01-02 10:00:00,12197.85,UPI,Delivered
20036,3381,2022-01-02 11:00:00,6296.08,UPI,Shipped
20037,4326,2022-01-02 12:00:00,11247,Credit Card,Pending
20038,307,2022-01-02 13:00:00,6179.64,COD,Shipped
20039,925,2022-01-02 14:00:00,10239.59,Credit Card,Shipped
20040,32,2022-01-02 15:00:00,11507.16,Net Banking,Delivered
20041,880,2022-01-02 16:00:00,14880.51,Net Banking,Delivered
20042,989,2022-01-02 17:00:00,5311.87,Credit Card,Shipped
20043,720,2022-01-02 18:00:00,6283.4,UPI,Shipped
20044,2710,2022-01-02 19:00:00,2651.18,Net Banking,Pending
20045,4864,2022-01-02 20:00:00,3220.28,UPI,Pending
20046,3500,2022-01-02 21:00:00,10462.25,Credit Card,Shipped
20047,3515,2022-01-02 22:00:00,13772.27,UPI,Cancelled
20048,379,2022-01-02 23:00:00,6040.15,Credit Card,Cancelled
20049,936,2022-01-03 00:00:00,2861.7,Credit Card,Shipped
20050,1608,2022-01-03 01:00:00,4419.47,UPI,Cancelled
20051,4960,2022-01-03 02:00:00,6934.77,UPI,Pending
20052,813,2022-01-03 03:00:00,4501.62,Credit Card,Shipped
20053,3177,2022-01-03 04:00:00,3656.97,Credit Card,Cancelled
20054,2962,2022-01-03 05:00:00,11092.57,Net Banking,Cancelled
20055,3008,2022-01-03 06:00:00,316.1,Net Banking,Pending
20056,2534,2022-01-03 07:00:00,8180.61,Credit Card,Cancelled
20057,1428,2022-01-03 08:00:00,11947.75,Net Banking,Pending
20058,2133,2022-01-03 09:00:00,4140.18,Credit Card,Delivered
20059,4123,2022-01-03 10:00:00,9128.71,UPI,Delivered
20060,3678,2022-01-03 11:00:00,10099.72,COD,Pending
20061,2653,2022-01-03 12:00:00,9894.37,Net Banking,Cancelled
20062,3275,2022-01-03 13:00:00,6798.57,COD,Shipped
20063,4841,2022-01-03 14:00:00,5329.35,UPI,Shipped
20064,1259,2022-01-03 15:00:00,12571.68,COD,Pending
20065,3772,2022-01-03 16:00:00,11425,UPI,Pending
20066,324,2022-01-03 17:00:00,4954.58,Net Banking,Delivered
20067,314,2022-01-03 18:00:00,1724.68,Net Banking,Shipped
